FIPS,CountyPopulation,ClintonorTrumpState,Clinton,Trump,Total,PCTClinton,PCTTrump,PercentDifferenceC_T,PercentDifferenceT_C,Obama,Romney,2012TotalVotes,PCTObama,PCTRomney,VoteDifferenceO_R,PCTDifferenceO_R,ClintonBreakwithObama,TrumpbreakwithRomney,2010LandArea,Density,CBSACode,CSACode,CBSATitle,CBSAPopulation,Metropolitan_MicropolitanStatisticalArea,Central_OutlyingCounty,POP2010,TotalCongregations,TotalAdherents,TotalAdherentsperThousand,EvangelicalProtestantAdherents,EvangelicalProtestantsPerThousand,BlackProtestantAdherents,BlackProtestantsperThousand,MainlineProtestantAdherents,MainlineProtestantsperThousand,CatholicAdherents,CatholicAdherentsperThousand,OrthodoxAdherents,OrthodoxAdherentsperThousand,Baha'IAdherents,Baha'IAdherentsperThousand,"Buddhism,MahayanaAdherents","Buddhism,MahayanaAdherentsperThousand","Buddhism,TheravadaAdherents","Buddhism,TheravadaAdherentsperThousand","Buddhism,VajrayanaAdherents","Buddhism,VajrayanaAdherentsperThousand",TotalBuddhistAdherents,TotalBuddhistAdherentsperThousand,LatterDaySaintsAdherents,LatterDaySaintsAdherentsperThousand,Indian-AmericanHinduAdherents,Indian-AmericanHinduAdherentsperThousand,PostRenaissanceHinduAdherents,PostRenaissanceHinduAdherentsperThousand,RenaissanceHinduAdherents,RenaissanceHinduAdherentsperThousand,TraditionalHinduTemplesAdherents,TraditionalHinduTemplesAdherentsperThousand,TotalHinduAdherents,TotalHindusAdherentsperThousand,MuslimsEstimated,MuslimsEstimatedperThousand,ConservativeJudaismAdherents,ConservativeJudaismAdherentsperThousand,OrthodoxJudaismAdherents,OrthodoxJudaismAdherentsperThousand,ReconstructionistJudaismAdherents,ReconstructionismJudaismAdherentsperThousand,ReformJudaismAdherents,ReformJudaismAdherentsperThousand,TotalJudaismAdherents,TotalJudaismAdherentsperThousand,UnitarianUniversalistAdherents,UnitarianUniversalistAdherentsperThousand,ZoroastrianAdherents,ZoroastrianAdherentsperThousand
1001,"55,347",Trump,"5,908","18,110","24,661",0.2396,0.7344,-0.4948,0.4948,"6,354","17,366","23,909",0.2658,0.7263,"-11,012",-0.4606,-446,744,594,93,33860,,"Montgomery, AL","373,792",Metropolitan Statistical Area,Central,54571,106,"36,938",676.88,"27,503",503.99,"2,291",41.98,"4,522",82.86,"1,766",32.36,,,33,0.6,,,,,,, -   ,0,820,15.03,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,3,0.05
1003,"203,709",Trump,"18,409","72,780","94,090",0.1957,0.7735,-0.5779,0.5779,"18,329","65,772","84,988",0.2157,0.7739,"-47,443",-0.5582,80,"7,008",1590,128,19300,380,"Daphne-Fairhope-Foley, AL","203,709",Metropolitan Statistical Area,Central,182265,271,"96,918",531.74,"57,986",318.14,"3,130",17.17,"20,075",110.14,"14,009",76.86,190,1.04,37,0.2,,,,,,, -   ,0,"1,022",5.61,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,146,0.8,,
1005,"26,489",Trump,"4,848","5,431","10,390",0.4666,0.5227,-0.0561,0.0561,"5,873","5,539","11,459",0.5125,0.4834,334,0.0291,"-1,025",-108,885,30,21640,,"Eufaula, AL-GA",,Micropolitan Statistical Area,Central,27457,89,"15,101",549.99,"8,793",320.25,"3,328",121.21,"2,140",77.94,575,20.94,,,,,,,,,,, -   ,0,265,9.65,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1007,"22,583",Trump,"1,874","6,733","8,748",0.2142,0.7697,-0.5554,0.5554,"2,200","6,131","8,391",0.2622,0.7307,"-3,931",-0.4685,-326,602,623,36,13820,142,"Birmingham-Hoover, AL","1,145,647",Metropolitan Statistical Area,Outlying,22915,81,"11,430",498.8,"10,159",443.33,966,42.16,302,13.18,,,,,3,0.13,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1009,"57,673",Trump,"2,150","22,808","25,384",0.0847,0.8985,-0.8138,0.8138,"2,961","20,741","23,980",0.1235,0.8649,"-17,780",-0.7415,-811,"2,067",645,89,13820,142,"Birmingham-Hoover, AL","1,145,647",Metropolitan Statistical Area,Outlying,57322,156,"37,352",651.62,"29,223",509.8,58,1.01,"3,035",52.95,"4,744",82.76,,,1,0.02,,,,,,, -   ,0,291,5.08,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1011,"10,696",Trump,"3,530","1,139","4,701",0.7509,0.2423,0.5086,-0.5086,"4,058","1,250","5,318",0.7631,0.2351,"2,808",0.528,-528,-111,623,17,,,,,,"Not Metro or Micro, Presumed Rural",10914,47,"6,300",577.24,"2,152",197.18,"3,445",315.65,601,55.07,49,4.49,,,53,4.86,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1013,"20,154",Trump,"3,716","4,891","8,685",0.4279,0.5632,-0.1353,0.1353,"4,367","5,081","9,483",0.4605,0.5358,-714,-0.0753,-651,-190,777,26,,,,,,"Not Metro or Micro, Presumed Rural",20947,92,"12,278",586.15,"8,653",413.09,"1,657",79.1,"1,653",78.91,77,3.68,,,,,,,,,,, -   ,0,102,4.87,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1015,"115,620",Trump,"13,197","32,803","47,376",0.2786,0.6924,-0.4138,0.4138,"15,500","30,272","46,240",0.3352,0.6547,"-14,772",-0.3195,"-2,303","2,531",606,191,11500,,"Anniston-Oxford-Jacksonville, AL","115,620",Metropolitan Statistical Area,Central,118572,281,"84,615",713.62,"67,564",569.81,"5,163",43.54,"7,066",59.59,"3,192",26.92,40,0.34,20,0.17,,,,,,, -   ,0,"1,149",9.69,,,,,,,,, -   ,0,308,2.6,,,,,,,113,0.95,113,0.95,,,,
1017,"34,123",Trump,"5,763","7,803","13,778",0.4183,0.5663,-0.1481,0.1481,"6,853","7,596","14,562",0.4706,0.5216,-743,-0.051,"-1,090",207,597,57,46740,194,"Valley, AL",,Micropolitan Statistical Area,Central,34215,119,"22,251",650.33,"12,903",377.12,"5,780",168.93,"3,080",90.02,249,7.28,,,2,0.06,,,,,,, -   ,0,237,6.93,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1019,"25,859",Trump,"1,524","8,809","10,503",0.1451,0.8387,-0.6936,0.6936,"2,126","7,494","9,761",0.2178,0.7677,"-5,368",-0.5499,-602,"1,315",554,47,,,,,,"Not Metro or Micro, Presumed Rural",25989,79,"12,455",479.24,"10,865",418.06,,,"1,590",61.18,,,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1021,"43,943",Trump,"2,909","15,068","18,255",0.1594,0.8254,-0.6661,0.6661,"3,391","13,910","17,434",0.1945,0.7979,"-10,519",-0.6034,-482,"1,158",693,63,13820,142,"Birmingham-Hoover, AL","1,145,647",Metropolitan Statistical Area,Outlying,43643,122,"30,488",698.58,"26,608",609.67,"1,116",25.57,"1,805",41.36,709,16.25,,,3,0.07,,,,,,, -   ,0,247,5.66,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1023,"13,170",Trump,"3,109","4,102","7,268",0.4278,0.5644,-0.1366,0.1366,"3,785","4,150","7,965",0.4752,0.521,-365,-0.0458,-676,-48,914,14,,,,,,"Not Metro or Micro, Presumed Rural",13859,83,"9,721",701.42,"6,080",438.7,"2,635",190.13,789,56.93,60,4.33,,,,,,,,,,, -   ,0,157,11.33,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1025,"24,675",Trump,"5,712","7,109","12,936",0.4416,0.5496,-0.108,0.108,"6,317","7,463","13,827",0.4569,0.5397,"-1,146",-0.0829,-605,-354,1238,20,,,,,,"Not Metro or Micro, Presumed Rural",25833,122,"20,470",792.4,"13,634",527.77,"5,098",197.34,"1,632",63.18,11,0.43,,,,,,,,,,, -   ,0,95,3.68,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1027,"13,555",Trump,"1,234","5,230","6,572",0.1878,0.7958,-0.608,0.608,"1,770","4,802","6,640",0.2666,0.7232,"-3,032",-0.4566,-536,428,604,22,,,,,,"Not Metro or Micro, Presumed Rural",13932,69,"10,305",739.66,"8,899",638.75,181,12.99,"1,038",74.5,186,13.35,,,1,0.07,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1029,"15,018",Trump,684,"5,738","6,532",0.1047,0.8784,-0.7737,0.7737,971,"5,269","6,302",0.1541,0.8361,"-4,298",-0.682,-287,469,560,27,,,,,,"Not Metro or Micro, Presumed Rural",14972,66,"11,463",765.63,"10,435",696.97,183,12.22,844,56.37,,,,,1,0.07,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1031,"51,211",Trump,"4,194","15,825","20,513",0.2045,0.7715,-0.567,0.567,"4,899","14,638","19,715",0.2485,0.7425,"-9,739",-0.494,-705,"1,187",679,75,21460,222,"Enterprise, AL",,Micropolitan Statistical Area,Central,49948,120,"33,021",661.11,"25,889",518.32,"1,320",26.43,"3,457",69.21,"1,550",31.03,,,,,,,,,,, -   ,0,805,16.12,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1033,"54,354",Trump,"7,296","16,718","24,626",0.2963,0.6789,-0.3826,0.3826,"9,160","13,931","23,374",0.3919,0.596,"-4,771",-0.2041,"-1,864","2,787",593,92,22520,,"Florence-Muscle Shoals, AL","146,950",Metropolitan Statistical Area,Central,54428,140,"37,805",694.59,"29,759",546.76,"3,256",59.82,"3,368",61.88,"1,415",26,,,7,0.13,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1035,"12,672",Trump,"3,069","3,413","6,543",0.4691,0.5216,-0.0526,0.0526,"3,551","3,434","7,013",0.5063,0.4897,117,0.0167,-482,-21,850,15,,,,,,"Not Metro or Micro, Presumed Rural",13228,62,"7,550",570.76,"4,297",324.84,"2,000",151.19,981,74.16,,,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1037,"10,724",Trump,"1,780","3,376","5,223",0.3408,0.6464,-0.3056,0.3056,"2,188","3,028","5,243",0.4173,0.5775,-840,-0.1602,-408,348,651,16,45180,142,"Talladega-Sylacauga, AL",,Micropolitan Statistical Area,Outlying,11539,49,"6,148",532.8,"4,180",362.25,"1,388",120.29,577,50,,,,,3,0.26,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1039,"37,835",Trump,"2,379","13,222","15,818",0.1504,0.8359,-0.6855,0.6855,"3,155","12,148","15,415",0.2047,0.7881,"-8,993",-0.5834,-776,"1,074",1030,37,,,,,,"Not Metro or Micro, Presumed Rural",37765,126,"23,386",619.25,"20,052",530.97,677,17.93,"2,093",55.42,291,7.71,,,4,0.11,,,,,,, -   ,0,269,7.12,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1041,"13,963",Trump,"1,663","4,511","6,252",0.266,0.7215,-0.4555,0.4555,"2,048","4,326","6,411",0.3195,0.6748,"-2,278",-0.3553,-385,185,609,23,,,,,,"Not Metro or Micro, Presumed Rural",13906,68,"8,784",631.67,"7,442",535.16,244,17.55,875,62.92,,,,,2,0.14,,,,,,, -   ,0,221,15.89,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1043,"82,005",Trump,"3,730","32,734","37,278",0.1001,0.8781,-0.778,0.778,"4,855","27,930","33,178",0.1463,0.8418,"-23,075",-0.6955,"-1,125","4,804",735,112,18980,142,"Cullman, AL",,Micropolitan Statistical Area,Central,80406,227,"62,799",781.02,"53,863",669.89,,,"3,698",45.99,"4,614",57.38,,,5,0.06,,,,,,, -   ,0,619,7.7,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1045,"49,565",Trump,"4,408","13,798","18,617",0.2368,0.7412,-0.5044,0.5044,"5,283","13,105","18,551",0.2848,0.7064,"-7,822",-0.4216,-875,693,561,88,37120,222,"Ozark, AL",,Micropolitan Statistical Area,Central,50251,109,"24,732",492.17,"17,979",357.78,"1,891",37.63,"3,712",73.87,278,5.53,,,9,0.18,,,,,,, -   ,0,863,17.17,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1047,"41,131",Trump,"12,826","5,784","18,730",0.6848,0.3088,0.376,-0.376,"14,599","6,284","20,936",0.6973,0.3002,"8,315",0.3972,"-1,773",-500,979,42,42820,,"Selma, AL",,Micropolitan Statistical Area,Central,43820,140,"26,546",605.8,"16,764",382.57,"6,398",146.01,"2,438",55.64,536,12.23,,,32,0.73,,,,,,, -   ,0,329,7.51,,,,,,,,, -   ,0,30,0.68,,,,,,,19,0.43,19,0.43,,,,
1049,"71,130",Trump,"3,682","21,779","26,086",0.1411,0.8349,-0.6937,0.6937,"5,235","18,316","23,842",0.2196,0.7682,"-13,081",-0.5487,"-1,553","3,463",777,92,22840,290,"Fort Payne, AL",,Micropolitan Statistical Area,Central,71109,184,"39,370",553.66,"32,536",457.55,,,"3,925",55.2,"2,657",37.37,,,1,0.01,,,,,,, -   ,0,251,3.53,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1051,"81,468",Trump,"8,436","27,619","36,905",0.2286,0.7484,-0.5198,0.5198,"8,940","26,223","35,440",0.2523,0.7399,"-17,283",-0.4877,-504,"1,396",618,132,33860,,"Montgomery, AL","373,792",Metropolitan Statistical Area,Central,79303,141,"37,247",469.68,"28,235",356.04,"1,902",23.98,"5,902",74.42,677,8.54,,,13,0.16,,,,,,, -   ,0,518,6.53,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1053,"37,789",Trump,"4,698","10,282","15,213",0.3088,0.6759,-0.3671,0.3671,"5,476","9,263","14,832",0.3692,0.6245,"-3,787",-0.2553,-778,"1,019",945,40,12120,426,"Atmore, AL",,Micropolitan Statistical Area,Central,38319,124,"23,014",600.59,"17,917",467.57,"2,164",56.47,"1,849",48.25,530,13.83,,,10,0.26,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1055,"103,057",Trump,"10,350","32,132","43,474",0.2381,0.7391,-0.501,0.501,"12,792","29,102","42,490",0.3011,0.6849,"-16,310",-0.3839,"-2,442","3,030",535,193,23460,,"Gadsden, AL","103,057",Metropolitan Statistical Area,Central,104430,256,"84,006",804.42,"64,316",615.88,"4,813",46.09,"5,816",55.69,"7,624",73.01,,,7,0.07,,,,,,, -   ,0,814,7.79,,,,,,,,, -   ,0,616,5.9,,,,,,,,, -   ,0,,,,
1057,"16,759",Trump,"1,358","6,705","8,196",0.1657,0.8181,-0.6524,0.6524,"1,803","6,034","7,912",0.2279,0.7626,"-4,231",-0.5348,-445,671,628,27,,,,,,"Not Metro or Micro, Presumed Rural",17241,94,"11,039",640.28,"9,490",550.43,541,31.38,795,46.11,90,5.22,,,,,,,,,,, -   ,0,123,7.13,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1059,"31,696",Trump,"2,197","9,466","11,955",0.1838,0.7918,-0.608,0.608,"3,171","7,567","10,859",0.292,0.6968,"-4,396",-0.4048,-974,"1,899",634,50,,,,,,"Not Metro or Micro, Presumed Rural",31704,102,"20,416",643.96,"16,733",527.79,526,16.59,"1,195",37.69,"1,487",46.9,,,,,,,,,,, -   ,0,475,14.98,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1061,"26,777",Trump,"1,522","9,967","11,659",0.1305,0.8549,-0.7243,0.7243,"2,039","9,173","11,318",0.1802,0.8105,"-7,134",-0.6303,-517,794,574,47,20020,222,"Dothan, AL","148,171",Metropolitan Statistical Area,Outlying,26790,102,"16,488",615.45,"12,807",478.05,"1,156",43.15,"1,960",73.16,50,1.87,,,4,0.15,,,,,,, -   ,0,203,7.58,,,,,,,,, -   ,0,308,11.5,,,,,,,,, -   ,0,,,,
1063,"8,479",Trump,"4,006",838,"4,862",0.8239,0.1724,0.6516,-0.6516,"4,514",799,"5,328",0.8472,0.15,"3,715",0.6973,-508,39,647,13,,,,,,"Not Metro or Micro, Presumed Rural",9045,28,"2,425",268.1,"1,134",125.37,857,94.75,375,41.46,37,4.09,,,22,2.43,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1065,"15,068",Trump,"4,772","3,172","8,010",0.5958,0.396,0.1998,-0.1998,"5,401","3,205","8,628",0.626,0.3715,"2,196",0.2545,-629,-33,644,23,46220,,"Tuscaloosa, AL","239,908",Metropolitan Statistical Area,Outlying,15760,69,"9,531",604.76,"4,362",276.78,"3,493",221.64,"1,386",87.94,25,1.59,100,6.35,6,0.38,,,,,,, -   ,0,159,10.09,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1067,"17,221",Trump,"2,286","5,623","8,017",0.2851,0.7014,-0.4162,0.4162,"3,046","5,605","8,700",0.3501,0.6443,"-2,559",-0.2941,-760,18,562,31,20020,222,"Dothan, AL","148,171",Metropolitan Statistical Area,Outlying,17302,43,"8,195",473.64,"6,025",348.23,"1,266",73.17,904,52.25,,,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1069,"104,173",Trump,"10,547","30,567","42,030",0.2509,0.7273,-0.4763,0.4763,"12,348","29,214","41,843",0.2951,0.6982,"-16,866",-0.4031,"-1,801","1,353",580,180,20020,222,"Dothan, AL","148,171",Metropolitan Statistical Area,Central,101547,210,"81,059",798.24,"60,486",595.65,"3,855",37.96,"12,245",120.58,"2,551",25.12,40,0.39,4,0.04,,,,,,, -   ,0,"1,119",11.02,,,,,,,,, -   ,0,616,6.07,,,,,,,143,1.41,143,1.41,,,,
1071,"52,419",Trump,"3,663","16,643","20,785",0.1762,0.8007,-0.6245,0.6245,"5,817","14,422","20,555",0.283,0.7016,"-8,605",-0.4186,"-2,154","2,221",1078,49,42460,174,"Scottsboro, AL",,Micropolitan Statistical Area,Central,53227,145,"28,922",543.37,"24,116",453.08,845,15.88,"2,116",39.75,"1,515",28.46,,,7,0.13,,,,,,, -   ,0,323,6.07,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1073,"660,367",Trump,"151,581","130,614","290,111",0.5225,0.4502,0.0723,-0.0723,"159,658","141,413","303,424",0.5262,0.4661,"18,245",0.0601,"-8,077","-10,799",1111,594,13820,142,"Birmingham-Hoover, AL","1,145,647",Metropolitan Statistical Area,Central,658466,"1,198","552,254",838.7,"308,984",469.25,"106,653",161.97,"67,037",101.81,"55,083",83.65,"1,424",2.16,280,0.43,11,0.02,,,53,0.08,64,0.1,"4,753",7.22,129,0.2,77,0.12,,,,,206,0.31,"3,348",5.08,"1,774",2.69,375,0.57,,,"1,971",2.99,"4,120",6.25,300,0.46,2,0
1075,"13,886",Trump,"1,035","5,819","6,931",0.1493,0.8396,-0.6902,0.6902,"1,643","5,453","7,159",0.2295,0.7617,"-3,810",-0.5322,-608,366,605,23,,,,,,"Not Metro or Micro, Presumed Rural",14564,90,"11,042",758.17,"8,902",611.23,"1,085",74.5,"1,055",72.44,,,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1077,"92,596",Trump,"9,877","27,735","38,813",0.2545,0.7146,-0.4601,0.4601,"12,504","23,902","36,908",0.3388,0.6476,"-11,398",-0.3088,"-2,627","3,833",668,139,22520,,"Florence-Muscle Shoals, AL","146,950",Metropolitan Statistical Area,Central,92709,206,"54,063",583.15,"40,963",441.84,"2,346",25.3,"8,079",87.14,"1,948",21.01,,,16,0.17,,,,,,, -   ,0,679,7.32,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,31,0.33,1,0.01
1079,"33,115",Trump,"3,611","10,732","14,623",0.2469,0.7339,-0.487,0.487,"5,055","8,855","14,079",0.359,0.629,"-3,800",-0.2699,"-1,444","1,877",691,48,19460,290,"Decatur, AL","152,680",Metropolitan Statistical Area,Outlying,34339,81,"17,919",521.83,"15,711",457.53,944,27.49,"1,175",34.22,87,2.53,,,2,0.06,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1081,"156,993",Trump,"20,987","34,321","57,668",0.3639,0.5951,-0.2312,0.2312,"21,274","32,062","54,115",0.3931,0.5925,"-10,788",-0.1994,-287,"2,259",608,258,12220,194,"Auburn-Opelika, AL","156,993",Metropolitan Statistical Area,Central,140247,175,"56,996",406.4,"30,090",214.55,"7,368",52.54,"15,250",108.74,"2,872",20.48,,,28,0.2,,,,,,, -   ,0,830,5.92,,,,,,,,, -   ,0,308,2.2,,,,,,,124,0.88,124,0.88,126,0.9,,
1083,"91,663",Trump,"9,340","28,824","39,400",0.2371,0.7316,-0.4945,0.4945,"9,809","25,263","35,406",0.277,0.7135,"-15,454",-0.4365,-469,"3,561",560,164,26620,290,"Huntsville, AL","444,752",Metropolitan Statistical Area,Outlying,82782,166,"43,018",519.65,"33,582",405.67,866,10.46,"4,899",59.18,"2,462",29.74,,,2,0.02,,,,,,, -   ,0,591,7.14,,,16,0.19,,,600,7.25,616,7.44,,,,,,,,,,, -   ,0,,,,
1085,"10,458",Trump,"4,882","1,751","6,676",0.7313,0.2623,0.469,-0.469,"5,747","1,754","7,519",0.7643,0.2333,"3,993",0.5311,-865,-3,716,15,33860,,"Montgomery, AL","373,792",Metropolitan Statistical Area,Outlying,11299,50,"6,217",550.23,"2,439",215.86,"2,265",200.46,"1,512",133.82,,,,,1,0.09,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1087,"19,105",Trump,"7,237","1,394","8,748",0.8273,0.1594,0.6679,-0.6679,"9,045","1,322","10,385",0.871,0.1273,"7,723",0.7437,"-1,808",72,609,31,,,,,,"Not Metro or Micro, Presumed Rural",21452,67,"9,583",446.72,"2,695",125.63,"4,945",230.51,"1,164",54.26,100,4.66,,,78,3.64,,,,,,, -   ,0,233,10.86,,,,,,,,, -   ,0,368,17.15,,,,,,,,, -   ,0,,,,
1089,"353,089",Trump,"62,435","89,199","159,473",0.3915,0.5593,-0.1678,0.1678,"61,802","90,679","154,632",0.3997,0.5864,"-28,877",-0.1867,633,"-1,480",802,440,26620,290,"Huntsville, AL","444,752",Metropolitan Statistical Area,Central,334811,432,"168,830",504.25,"105,503",315.11,"6,710",20.04,"35,533",106.13,"14,157",42.28,340,1.02,145,0.43,364,1.09,,,,,364,1.09,"4,137",12.36,,,41,0.12,,,,,41,0.12,924,2.76,173,0.52,,,,,473,1.41,646,1.93,166,0.5,8,0.02
1091,"20,028",Trump,"5,607","5,224","10,948",0.5121,0.4772,0.035,-0.035,"6,154","5,321","11,509",0.5347,0.4623,833,0.0724,-547,-97,977,21,,,,,,"Not Metro or Micro, Presumed Rural",21027,88,"16,244",772.53,"10,671",507.49,"3,057",145.38,"1,906",90.65,386,18.36,,,6,0.29,,,,,,, -   ,0,218,10.37,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1093,"30,168",Trump,"1,432","11,273","12,912",0.1109,0.8731,-0.7622,0.7622,"2,249","9,696","12,104",0.1858,0.8011,"-7,447",-0.6153,-817,"1,577",742,41,,,,,,"Not Metro or Micro, Presumed Rural",30776,112,"18,828",611.78,"16,308",529.89,366,11.89,"1,460",47.44,474,15.4,,,,,,,,,,, -   ,0,220,7.15,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1095,"94,725",Trump,"4,913","29,217","34,965",0.1405,0.8356,-0.6951,0.6951,"6,271","25,785","32,455",0.1932,0.7945,"-19,514",-0.6013,"-1,358","3,432",566,167,10700,290,"Albertville, AL",,Micropolitan Statistical Area,Central,93019,216,"60,942",655.16,"43,707",469.87,372,4,"7,868",84.58,"8,382",90.11,,,4,0.04,,,,,,, -   ,0,609,6.55,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1097,"415,395",Trump,"68,429","91,087","163,387",0.4188,0.5575,-0.1387,0.1387,"78,417","94,566","174,189",0.4502,0.5429,"-16,149",-0.0927,"-9,988","-3,479",1229,338,33660,380,"Mobile, AL","415,395",Metropolitan Statistical Area,Central,412992,599,"253,133",612.92,"149,286",361.47,"34,124",82.63,"30,312",73.4,"32,003",77.49,724,1.75,82,0.2,506,1.23,395,0.96,,,901,2.18,"2,366",5.73,,,16,0.04,,,,,16,0.04,"1,540",3.73,359,0.87,,,,,602,1.46,961,2.33,70,0.17,,
1099,"21,673",Trump,"4,310","5,771","10,185",0.4232,0.5666,-0.1434,0.1434,"4,897","5,730","10,680",0.4585,0.5365,-833,-0.078,-587,41,1026,21,,,,,,"Not Metro or Micro, Presumed Rural",23068,88,"14,959",648.47,"8,597",372.68,"4,578",198.46,"1,377",59.69,100,4.34,,,2,0.09,,,,,,, -   ,0,305,13.22,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1101,"226,519",Trump,"58,669","33,928","94,572",0.6204,0.3588,0.2616,-0.2616,"62,993","38,283","101,781",0.6189,0.3761,"24,710",0.2428,"-4,324","-4,355",784,289,33860,,"Montgomery, AL","373,792",Metropolitan Statistical Area,Central,229363,354,"159,955",697.39,"69,894",304.73,"44,089",192.22,"31,983",139.44,"9,480",41.33,85,0.37,287,1.25,,,15,0.07,,,15,0.07,"1,893",8.25,,,,,,,,, -   ,0,968,4.22,537,2.34,,,,,459,2,996,4.34,129,0.56,,
1103,"119,565",Trump,"11,216","37,392","49,991",0.2244,0.748,-0.5236,0.5236,"13,401","35,309","49,198",0.2724,0.7177,"-21,908",-0.4453,"-2,185","2,083",579,206,19460,290,"Decatur, AL","152,680",Metropolitan Statistical Area,Central,119490,250,"83,260",696.79,"59,647",499.18,"2,605",21.8,"11,687",97.81,"8,380",70.13,,,26,0.22,,,,,,, -   ,0,759,6.35,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1105,"9,652",Trump,"3,823","1,403","5,255",0.7275,0.267,0.4605,-0.4605,"4,536","1,504","6,065",0.7479,0.248,"3,032",0.4999,-713,-101,720,13,,,,,,"Not Metro or Micro, Presumed Rural",10591,44,"5,710",539.14,"2,905",274.29,"1,864",176,936,88.38,,,,,5,0.47,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1107,"20,864",Trump,"3,972","5,454","9,494",0.4184,0.5745,-0.1561,0.1561,"4,448","5,119","9,599",0.4634,0.5333,-671,-0.0699,-476,335,881,24,46220,,"Tuscaloosa, AL","239,908",Metropolitan Statistical Area,Outlying,19746,98,"13,500",683.68,"9,795",496.05,"1,716",86.9,"1,603",81.18,74,3.75,,,4,0.2,,,,,,, -   ,0,,,,,,,,,,, -   ,0,308,15.6,,,,,,,,, -   ,0,,,,
1109,"33,046",Trump,"5,039","7,681","13,025",0.3869,0.5897,-0.2028,0.2028,"6,009","7,939","14,057",0.4275,0.5648,"-1,930",-0.1373,-970,-258,672,49,45980,,"Troy, AL",,Micropolitan Statistical Area,Central,32899,89,"16,755",509.29,"10,098",306.94,"3,675",111.71,"2,442",74.23,215,6.54,,,2,0.06,,,,,,, -   ,0,323,9.82,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
1111,"22,696",Trump,"2,290","7,697","10,130",0.2261,0.7598,-0.5338,0.5338,"3,076","7,219","10,391",0.296,0.6947,"-4,143",-0.3987,-786,478,581,39,,,,,,"Not Metro or Micro, Presumed Rural",22913,106,"13,134",573.21,"9,053",395.1,"1,953",85.24,"1,978",86.33,149,6.5,,,1,0.04,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
